"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"04/01/2024 15:00:00 - 04/01/2024 16:00:00","BZN|CZ","Without Sequence","98.62","",""
"04/01/2024 16:00:00 - 04/01/2024 17:00:00","BZN|CZ","Without Sequence","105.00","",""
"04/01/2024 17:00:00 - 04/01/2024 18:00:00","BZN|CZ","Without Sequence","118.88","",""
"04/01/2024 18:00:00 - 04/01/2024 19:00:00","BZN|CZ","Without Sequence","123.53","",""
"04/01/2024 19:00:00 - 04/01/2024 20:00:00","BZN|CZ","Without Sequence","115.09","",""
"04/01/2024 20:00:00 - 04/01/2024 21:00:00","BZN|CZ","Without Sequence","101.98","",""
"04/01/2024 21:00:00 - 04/01/2024 22:00:00","BZN|CZ","Without Sequence","96.84","",""
"04/01/2024 22:00:00 - 04/01/2024 23:00:00","BZN|CZ","Without Sequence","93.18","",""
"04/01/2024 23:00:00 - 05/01/2024 00:00:00","BZN|CZ","Without Sequence","88.74","",""
"05/01/2024 00:00:00 - 05/01/2024 01:00:00","BZN|CZ","Without Sequence","86.08","",""
"05/01/2024 01:00:00 - 05/01/2024 02:00:00","BZN|CZ","Without Sequence","80.51","",""
"05/01/2024 02:00:00 - 05/01/2024 03:00:00","BZN|CZ","Without Sequence","77.01","",""
"05/01/2024 03:00:00 - 05/01/2024 04:00:00","BZN|CZ","Without Sequence","73.10","",""
"05/01/2024 04:00:00 - 05/01/2024 05:00:00","BZN|CZ","Without Sequence","73.53","",""
"05/01/2024 05:00:00 - 05/01/2024 06:00:00","BZN|CZ","Without Sequence","75.73","",""
"05/01/2024 06:00:00 - 05/01/2024 07:00:00","BZN|CZ","Without Sequence","87.56","",""
"05/01/2024 07:00:00 - 05/01/2024 08:00:00","BZN|CZ","Without Sequence","95.84","",""
"05/01/2024 08:00:00 - 05/01/2024 09:00:00","BZN|CZ","Without Sequence","98.14","",""
"05/01/2024 09:00:00 - 05/01/2024 10:00:00","BZN|CZ","Without Sequence","97.74","",""
"05/01/2024 10:00:00 - 05/01/2024 11:00:00","BZN|CZ","Without Sequence","96.88","",""
"05/01/2024 11:00:00 - 05/01/2024 12:00:00","BZN|CZ","Without Sequence","98.37","",""
"05/01/2024 12:00:00 - 05/01/2024 13:00:00","BZN|CZ","Without Sequence","94.62","",""
"05/01/2024 13:00:00 - 05/01/2024 14:00:00","BZN|CZ","Without Sequence","97.01","",""
"05/01/2024 14:00:00 - 05/01/2024 15:00:00","BZN|CZ","Without Sequence","103.06","",""
"05/01/2024 15:00:00 - 05/01/2024 16:00:00","BZN|CZ","Without Sequence","105.83","",""
"05/01/2024 16:00:00 - 05/01/2024 17:00:00","BZN|CZ","Without Sequence","108.14","",""
"05/01/2024 17:00:00 - 05/01/2024 18:00:00","BZN|CZ","Without Sequence","111.50","",""
"05/01/2024 18:00:00 - 05/01/2024 19:00:00","BZN|CZ","Without Sequence","110.41","",""
"05/01/2024 19:00:00 - 05/01/2024 20:00:00","BZN|CZ","Without Sequence","106.70","",""
"05/01/2024 20:00:00 - 05/01/2024 21:00:00","BZN|CZ","Without Sequence","102.71","",""
"05/01/2024 21:00:00 - 05/01/2024 22:00:00","BZN|CZ","Without Sequence","95.54","",""
"05/01/2024 22:00:00 - 05/01/2024 23:00:00","BZN|CZ","Without Sequence","94.92","",""
"05/01/2024 23:00:00 - 06/01/2024 00:00:00","BZN|CZ","Without Sequence","86.80","",""
"06/01/2024 00:00:00 - 06/01/2024 01:00:00","BZN|CZ","Without Sequence","82.25","",""
"06/01/2024 01:00:00 - 06/01/2024 02:00:00","BZN|CZ","Without Sequence","80.20","",""
"06/01/2024 02:00:00 - 06/01/2024 03:00:00","BZN|CZ","Without Sequence","76.13","",""
"06/01/2024 03:00:00 - 06/01/2024 04:00:00","BZN|CZ","Without Sequence","73.01","",""
"06/01/2024 04:00:00 - 06/01/2024 05:00:00","BZN|CZ","Without Sequence","73.01","",""
"06/01/2024 05:00:00 - 06/01/2024 06:00:00","BZN|CZ","Without Sequence","74.59","",""
"06/01/2024 06:00:00 - 06/01/2024 07:00:00","BZN|CZ","Without Sequence","75.10","",""
"06/01/2024 07:00:00 - 06/01/2024 08:00:00","BZN|CZ","Without Sequence","81.39","",""
"06/01/2024 08:00:00 - 06/01/2024 09:00:00","BZN|CZ","Without Sequence","88.40","",""
"06/01/2024 09:00:00 - 06/01/2024 10:00:00","BZN|CZ","Without Sequence","92.23","",""
"06/01/2024 10:00:00 - 06/01/2024 11:00:00","BZN|CZ","Without Sequence","97.30","",""
"06/01/2024 11:00:00 - 06/01/2024 12:00:00","BZN|CZ","Without Sequence","100.47","",""
"06/01/2024 12:00:00 - 06/01/2024 13:00:00","BZN|CZ","Without Sequence","99.16","",""
"06/01/2024 13:00:00 - 06/01/2024 14:00:00","BZN|CZ","Without Sequence","95.00","",""
"06/01/2024 14:00:00 - 06/01/2024 15:00:00","BZN|CZ","Without Sequence","92.52","",""
"06/01/2024 15:00:00 - 06/01/2024 16:00:00","BZN|CZ","Without Sequence","94.75","",""
"06/01/2024 16:00:00 - 06/01/2024 17:00:00","BZN|CZ","Without Sequence","99.28","",""
"06/01/2024 17:00:00 - 06/01/2024 18:00:00","BZN|CZ","Without Sequence","104.29","",""
"06/01/2024 18:00:00 - 06/01/2024 19:00:00","BZN|CZ","Without Sequence","103.63","",""
